Temperature 1 (K),Temperature 2 (K),Temperature 3 (K),Uncertainty (K),Time (s)
324.15,325.4,336.65,2.25,0
323.9,325.65,335.9,2.25,1
325.15,326.15,336.9,2.25,2
325.4,326.9,337.15,2.25,3
326.15,326.9,337.65,2.25,4
326.4,327.65,337.9,2.25,5
327.4,328.15,337.4,2.25,6
327.9,328.65,338.15,2.25,7
328.4,328.9,338.9,2.25,8
329.15,329.15,339.15,2.25,9
329.4,329.9,339.65,2.25,10
330.15,329.65,339.65,2.25,11
330.65,329.9,339.65,2.25,12
330.9,330.65,340.9,2.25,13
331.9,331.15,341.15,2.25,14
332.15,331.4,341.4,2.25,15
332.15,331.15,341.65,2.25,16
332.9,331.9,342.15,2.25,17
332.9,332.4,342.4,2.25,18
333.9,332.65,342.9,2.25,19
333.9,333.15,343.15,2.25,20
335.4,333.65,342.65,2.25,21
335.9,333.65,343.4,2.25,22
336.65,333.65,343.9,2.25,23
336.65,334.15,343.15,2.25,24
337.15,334.4,343.9,2.25,25
337.65,335.4,344.15,2.25,26
337.9,335.65,344.9,2.25,27
338.4,335.9,345.15,2.25,28
337.9,336.15,345.65,2.25,29
338.65,336.4,345.65,2.25,30
338.65,336.65,345.15,2.25,31
339.65,336.4,346.4,2.25,32
339.9,337.4,345.9,2.25,33
339.15,337.65,346.4,2.25,34
340.65,337.9,346.4,2.25,35
340.65,338.4,346.9,2.25,36
340.9,338.4,347.4,2.25,37
341.15,338.65,347.15,2.25,38
340.9,338.9,347.9,2.25,39
341.15,338.9,347.9,2.25,40
341.4,339.15,347.15,2.25,41
341.4,339.15,348.15,2.25,42
342.4,340.15,348.4,2.25,43
342.65,340.15,348.65,2.25,44
342.4,340.65,348.9,2.25,45
343.15,341.15,348.9,2.25,46
342.9,341.4,348.65,2.25,47
343.4,341.65,349.4,2.25,48
343.65,341.65,349.4,2.25,49
343.9,341.9,349.65,2.25,50
344.15,341.9,349.9,2.25,51
344.4,342.65,349.9,2.25,52
344.4,342.4,349.9,2.25,53
344.65,342.65,349.65,2.25,54
344.4,342.9,350.65,2.25,55
344.9,342.65,350.4,2.25,56
345.15,342.65,350.4,2.25,57
344.9,343.4,350.65,2.25,58
345.4,343.65,350.4,2.25,59
345.65,343.9,351.15,2.25,60
345.65,344.15,351.15,2.25,61
345.4,344.15,351.15,2.25,62
346.15,344.9,350.9,2.25,63
346.15,344.4,351.15,2.25,64
346.15,344.65,351.15,2.25,65
346.4,345.15,351.65,2.25,66
346.65,345.4,351.65,2.25,67
346.65,345.65,351.9,2.25,68
346.9,345.65,351.9,2.25,69
346.9,345.4,352.15,2.25,70
346.65,346.4,352.15,2.25,71
347.15,346.15,352.9,2.25,72
